,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
963,963,12,2,4,0.06,1,2016,4,0,2,1,2,80.0,21.366666666666667,0.37,5.62,8.87,7,24.5,0.0,1,2,0
964,964,12,2,1,0.06,1,2016,5,1,1,1,3,4.0,32.56333333333333,-0.28,9.01,6.83,7,24.5,0.0,1,1,0
965,965,7,1,2,0.078,2,2016,2,0,2,2,2,24.39,43.76,4.9,20.21,20.12,33,115.5,0.0,0,1,1
966,966,12,2,3,0.06,1,2016,4,0,2,2,2,14.0,48.33,2.63,28.37,10.78,7,24.5,0.0,1,1,0
967,967,12,4,4,0.032,1,2017,5,1,1,1,3,10.98,36.004999999999995,0.0,5.0,8.22,7,24.5,1.0,0,2,0
968,968,12,4,2,0.032,1,2017,1,0,2,2,1,12.0,23.68,3.8,17.82,21.07,7,24.5,0.0,1,2,0
969,969,12,4,3,0.032,1,2016,4,0,2,2,2,0.0,5.36,3.83,23.12,16.64,7,24.5,0.0,1,1,0
970,970,12,2,1,0.06,1,2017,5,1,1,1,3,2.0,15.336666666666666,-0.45,8.04,10.02,7,24.5,0.0,1,1,0
971,971,7,1,1,0.078,2,2017,5,1,1,1,3,7.0,25.313333333333333,-0.04,12.11,12.34,19,66.5,1.0,0,1,0
972,972,12,2,2,0.06,1,2017,2,0,2,2,2,6.56,35.29,4.88,23.46,16.33,7,24.5,0.0,1,1,0
973,973,12,4,2,0.032,1,2017,2,0,2,2,2,19.0,13.51,4.5,18.1,21.49,7,24.5,0.0,1,1,0
974,974,12,4,2,0.032,1,2017,7,0,3,2,2,25.53,34.15,4.28,23.46,16.31,7,24.5,0.0,1,1,0
975,975,12,4,1,0.032,1,2016,5,1,1,1,3,0.0,33.935,-0.67,7.98,10.06,7,24.5,0.0,1,1,0
976,976,7,1,2,0.078,2,2017,1,0,2,2,1,19.14,33.72,3.93,18.59,21.65,33,115.5,0.0,0,2,1
977,977,12,2,1,0.06,1,2017,5,1,1,1,3,5.7,16.86,-0.27,9.0,9.03,7,24.5,1.0,0,1,0
978,978,12,2,2,0.06,1,2017,3,0,2,2,1,0.0,0.0,3.97,20.4,18.75,7,24.5,0.0,1,1,0
979,979,12,4,1,0.032,1,2017,1,0,2,1,1,6.0,15.365,-1.12,11.31,11.47,7,24.5,0.0,1,2,0
980,980,7,3,2,0.082,2,2017,7,0,3,2,2,15.42,30.73,4.83,23.87,15.99,17,59.5,1.0,0,1,0
981,981,7,3,1,0.082,2,2017,5,1,1,1,3,10.58,25.950000000000003,-0.03,12.92,12.57,19,66.5,1.0,0,1,0
982,982,7,3,2,0.082,2,2017,1,0,2,2,1,15.9,21.17,3.93,18.27,20.93,19,66.5,1.0,0,1,0
983,983,13,1,1,0.052,1,2017,6,0,3,1,1,18.39,27.975,0.0,10.64,11.22,7,24.5,0.0,1,2,0
984,984,13,1,2,0.052,1,2017,7,0,3,2,2,27.0,34.78,4.63,24.42,15.67,7,24.5,0.0,1,1,0
985,985,13,1,2,0.052,1,2017,2,0,2,2,2,37.0,17.65,4.63,20.82,17.68,7,24.5,0.0,1,1,0
986,986,13,3,4,0.087,2,2017,5,1,1,1,3,8.73,18.506666666666664,0.06,7.69,11.93,7,24.5,1.0,0,2,0
987,987,13,3,4,0.087,2,2016,7,0,2,1,2,28.46,19.363333333333333,0.65,10.38,13.66,7,24.5,1.0,0,2,0
988,988,7,3,2,0.082,2,2017,3,0,2,2,1,16.76,20.22,4.48,17.56,23.24,17,59.5,1.0,0,1,0
989,989,13,1,2,0.052,1,2017,5,1,1,2,3,0.0,0.0,2.4,19.01,18.15,7,24.5,0.0,1,1,0
990,990,7,1,3,0.078,2,2017,5,1,1,2,3,10.62,8.66,3.02,24.76,13.06,21,73.5,1.0,0,1,0
991,991,13,1,2,0.052,1,2016,7,0,3,2,2,4.0,20.83,4.78,18.91,21.76,7,24.5,0.0,1,1,0
992,992,13,1,2,0.052,1,2017,7,0,3,2,2,8.0,11.43,4.5,24.7,14.99,7,24.5,0.0,1,1,0
993,993,13,1,3,0.052,1,2016,4,0,2,2,2,16.0,0.0,3.59,20.29,18.47,7,24.5,0.0,1,1,0
994,994,13,3,2,0.087,2,2017,2,0,2,2,2,6.0,63.89,5.23,21.13,18.17,7,24.5,0.0,1,1,0
995,995,13,3,1,0.087,2,2016,4,0,2,1,2,14.72,47.42,-0.08,13.88,12.21,7,24.5,1.0,0,2,0
996,996,13,1,2,0.052,1,2016,6,0,2,2,1,17.0,30.95,4.85,19.5,20.11,7,24.5,0.0,1,1,0
997,997,7,3,2,0.082,2,2017,6,0,2,2,1,27.5,20.17,4.84,17.84,21.92,17,59.5,1.0,0,1,0
998,998,7,3,2,0.082,2,2016,2,0,2,2,2,23.53,37.65,5.01,19.39,20.67,22,77.0,1.0,0,1,0
999,999,13,5,3,0.077,2,2017,2,0,3,2,2,17.2,30.65,3.6,25.5,14.73,7,24.5,1.0,0,1,0
1000,1000,13,3,2,0.087,2,2017,2,0,2,2,2,40.0,32.43,5.36,19.64,20.87,7,24.5,0.0,1,1,0
1001,1001,13,2,2,0.093,2,2016,4,0,2,2,2,16.0,64.1,5.07,24.06,16.25,7,24.5,0.0,1,1,0
1002,1002,13,4,4,0.086,2,2017,2,0,2,1,2,58.0,44.55,1.07,8.43,11.67,7,24.5,0.0,1,2,0
1003,1003,13,2,2,0.093,2,2017,7,0,3,2,2,7.0,25.0,5.24,22.15,17.6,7,24.5,0.0,1,1,0
1004,1004,13,5,3,0.077,2,2017,6,0,2,2,1,12.0,35.71,3.82,26.55,14.42,7,24.5,0.0,1,1,0
1005,1005,7,2,2,0.079,2,2016,7,0,3,2,2,15.24,30.87,4.79,24.02,16.01,33,115.5,0.0,0,1,1
1006,1006,7,2,2,0.079,2,2016,4,0,2,2,2,16.5,20.41,4.8,18.2,21.76,17,59.5,1.0,0,1,0
